CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,40,52.4,52
2,Male,21,,99
3,Male,20,31.5,95
4,Female,28,21.9,83
5,Male,44,78.5,2
6,Female,27,16.8,78
7,Male,35,129.7,91
8,Male,35,49.5,45
9,Male,44,33.5,13
10,Female,51,35.5,1
11,Female,41,58.4,40
12,Female,42,42.4,52
13,Male,37,78.2,97
14,Male,59,27.8,7
15,Male,58,131.6,24
16,Female,25,81.3,73
17,Male,23,18.4,80
18,Female,42,41.7,47
19,Female,30,,79
20,Male,42,24.7,15
21,Female,65,111.2,32
22,Male,42,95.8,83
23,Female,41,111.6,76
24,Female,43,33.8,28
25,Male,44,126.3,30
26,Female,67,101.2,11
27,Female,31,54.0,56
28,Female,48,113.9,33
29,Female,25,41.8,56
30,Female,65,121.7,28
31,Female,36,25.5,5
32,Male,46,56.7,42
33,Male,56,127.1,22
34,Male,35,65.0,44
35,Male,43,106.0,77
36,Female,47,,47
37,Male,44,81.3,99
38,Female,45,83.1,27
39,Female,25,49.5,57
40,Male,31,43.8,56
41,Male,33,90.7,83
42,Female,31,96.7,86
43,Male,38,39.0,29
44,Female,43,88.7,89
45,Male,30,17.8,93
46,Female,46,20.5,16
47,Female,58,23.6,21
48,Male,63,118.4,14
49,Female,25,18.7,89
50,Female,42,120.6,98
51,Female,29,23.9,94
52,Female,21,28.7,79
53,Female,33,59.9,46
54,Female,47,24.3,20
55,Female,24,99.5,99
56,Female,22,31.9,94
57,Female,31,26.0,93
58,Female,20,133.8,94
59,Male,24,139.5,78
60,Male,41,47.5,55
61,Female,47,46.3,52
62,Female,44,31.3,15
63,Male,47,72.0,43
64,Male,20,109.2,81
65,Female,29,,87
66,Female,52,92.1,20
67,Male,63,138.4,3
68,Female,38,39.4,16
69,Male,66,137.1,14
70,Female,28,114.3,80
71,Male,36,58.1,54
72,Female,41,57.9,55
73,Male,35,74.7,53
74,Female,21,35.3,87
75,Male,20,101.1,85
76,Female,53,70.5,54
77,Male,43,56.4,40
78,Female,54,17.5,17
79,Male,30,20.3,83
80,Male,21,21.5,82
81,Female,35,127.9,95
82,Male,67,114.5,11
83,Male,36,,7
84,Female,35,94.0,27
85,Male,53,35.7,7
86,Female,37,19.4,16
87,Male,28,28.0,96
88,Male,22,101.7,91
89,Male,43,27.2,7
90,Male,47,23.5,7
91,Female,36,79.3,13
92,Female,30,50.2,50
93,Male,20,20.8,86
94,Male,30,69.3,48
95,Female,45,98.9,26
96,Male,35,131.4,75
97,Female,32,33.0,8
98,Male,40,127.8,22
99,Female,50,73.3,49
100,Female,27,26.2,81
101,Male,34,69.2,44
102,Male,54,17.3,18
103,Male,34,138.0,80
104,Female,52,113.9,21
105,Female,23,16.0,96
106,Male,24,32.0,94
107,Female,31,15.5,90
108,Male,51,15.3,8
109,Female,50,16.0,17
110,Male,46,133.7,1
111,Male,38,49.9,54
112,Female,44,15.6,8
113,Female,43,47.8,44
114,Female,68,137.7,16
115,Female,51,,28
116,Male,40,86.9,93
117,Male,42,40.0,15
118,Female,53,103.2,16
119,Female,56,29.3,23
120,Female,27,37.7,75
121,Male,37,36.7,18
122,Male,21,31.2,86
123,Female,21,38.0,83
124,Female,43,104.5,21
125,Female,27,111.2,98
126,Male,48,22.6,14
127,Female,18,19.8,73
128,Male,51,53.1,55
129,Female,48,72.7,46
130,Female,39,126.8,74
131,Male,25,19.5,74
132,Female,20,27.6,88
133,Female,37,31.0,25
134,Male,33,88.3,95
135,Male,52,57.3,45
136,Female,28,18.6,83
137,Male,68,107.2,22
138,Female,30,127.5,84
139,Female,59,81.7,23
140,Male,32,31.5,1
141,Female,26,26.9,93
142,Female,39,100.1,77
143,Female,29,33.4,71
144,Female,31,88.4,82
145,Male,49,77.6,11
146,Male,35,131.1,24
147,Female,34,80.3,81
148,Female,46,79.5,23
149,Female,48,71.2,56
150,Male,23,133.1,76
151,Female,48,121.7,23
152,Male,54,26.9,23
153,Female,23,38.5,76
154,Female,31,30.3,98
155,Female,37,113.9,4
156,Female,33,35.3,2
157,Female,49,114.7,12
158,Female,35,64.1,45
159,Male,43,40.1,57
160,Male,41,135.8,95
161,Male,25,39.4,86
162,Male,51,60.5,51
163,Male,62,104.2,18
164,Male,34,61.8,53
165,Female,21,136.3,97
166,Female,18,16.6,78
167,Male,19,35.0,86
168,Female,47,113.0,19
169,Female,27,27.8,75
170,Female,49,65.9,42
171,Female,33,114.9,81
172,Male,40,31.8,2
173,Male,42,30.2,4
174,Female,56,19.1,11
175,Female,30,27.2,98
176,Male,25,15.6,88
177,Female,39,18.0,27
178,Female,51,27.5,23
179,Female,22,,83
180,Female,53,108.9,8
181,Female,43,106.7,86
182,Male,31,106.3,93
183,Male,52,80.1,27
184,Female,44,15.9,8
185,Female,37,123.4,14
186,Female,22,117.0,97
187,Female,46,39.6,18
188,Female,37,63.6,43
189,Female,43,62.1,58
190,Female,36,32.0,13
191,Male,31,,92
192,Female,32,91.2,81
193,Female,55,104.5,1
194,Male,41,50.3,53
195,Female,47,50.5,49
196,Female,44,96.1,78
197,Male,54,24.7,1
198,Female,23,34.6,98
199,Female,61,127.5,1
200,Male,49,130.2,26
41,Male,33,90.7,83
52,Female,21,28.7,79
140,Male,32,31.5,1
198,Female,23,34.6,98
171,Female,33,114.9,81
83,Male,36,,7
